PlatformNumber,StationName,Longitude,Latitude
2812,Midsommarkransen,18.0120025442611,59.3018796328365
2821,Telefonplan,17.9973180997882,59.2982482765907
2822,Telefonplan,17.9973712903092,59.2982563613465
2831,Hägerstensåsen,17.9784233065016,59.2951615223219
2832,Hägerstensåsen,17.9784595232892,59.2951788775285
2841,Västertorp,17.9667006809331,59.2913516203392
2842,Västertorp,17.9667187843272,59.2913602996078
2851,Fruängen,17.9648474589468,59.2867578385717
2852,Fruängen,17.9650576024391,59.2859192468042
3031,Kungsträdgården,18.0726515085906,59.3305164125567
3032,Kungsträdgården,18.0736331692236,59.3302865621452
3051,T-Centralen,18.0619913063304,59.3324389341908
3052,T-Centralen,18.0619904988147,59.3324299668346
3131,Rådhuset,18.0450406264359,59.3301224755941
3132,Rådhuset,18.0448627233085,59.3300996760577
3151,Fridhemsplan,18.030783488062,59.3329535677108
3152,Fridhemsplan,18.0308519497068,59.3329254595986
3161,Stadshagen,18.0157864053728,59.3375607363244
3162,Stadshagen,18.0158861591081,59.3374955237462
3201,Västra skogen,18.0033743796139,59.3480375378972
3202,Västra skogen,18.0033579755113,59.3480557737775
3204,Västra skogen,18.0034757023761,59.3479729721488
3211,Solna centrum,17.9976280362034,59.3596362886778
3212,Solna centrum,17.9979260096156,59.359422754897
3221,Näckrosen,17.9819614417488,59.3674361138908
3222,Näckrosen,17.981977436405,59.3674177759815
3231,Hallonbergen,17.9691260920519,59.3743278170188
3232,Hallonbergen,17.9693993326049,59.3741975713214
3234,Hallonbergen,17.969198247308,59.374631925272
3241,Kymlinge norrut,17.9669658696651,59.3934690552031
3242,Kymlinge söderut,17.967415653538,59.3935756377323
3251,Kista,17.9426683336417,59.4029594411987
3252,Kista,17.9426847963992,59.4029412127643
3261,Husby,17.9266960093278,59.4096637706248
3262,Husby,17.9267433669051,59.4095998080261
3271,Akalla,17.9171595033746,59.4135751526267
3272,Akalla,17.9175933082405,59.4140350627048
3273,Akalla uppställning,17.9142245876268,59.4151041811442
3411,Huvudsta,17.9870089919581,59.3495641680988
3412,Huvudsta,17.9869204016823,59.3495572129969
3421,Solna strand,17.9732214935653,59.354678024773
3422,Solna strand,17.9732023606751,59.3546604893958
3431,Sundbybergs centrum,17.9726570469796,59.3604958328157
3432,Sundbybergs centrum,17.9726921795281,59.3604950314344
3441,Duvbo,17.9630809873331,59.3680793953108
3442,Duvbo,17.9627867800152,59.3681560976105
3451,Rissne,17.939668701792,59.3759089709174
3452,Rissne,17.9397198728074,59.3758898453837
3461,Rinkeby,17.9284994393447,59.3883001219562
3462,Rinkeby,17.9285483130429,59.3882540955247
3464,Rinkeby,17.9283145585478,59.3884031173129
3471,Tensta,17.9025749448558,59.394127387745
3472,Tensta,17.9024365686916,59.3941574244581
3481,Hjulsta,17.8886566051867,59.3968176060148
3482,Hjulsta,17.8887321622357,59.3967287216497
