Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2016/17

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Eksjö;0686;Jönköpings län;06;Kommunal;Samtliga;213;82,2;81,7;80,8;81,2;17,8;
Eksjö;0686;Jönköpings län;06;Enskild;Samtliga;13;..;..;..;..;76,9;
Emmaboda;0862;Kalmar län;08;Samtliga;Samtliga;89;65,2;65,2;59,6;61,8;34,8;
Emmaboda;0862;Kalmar län;08;Kommunal;Samtliga;89;65,2;65,2;59,6;61,8;34,8;
Enköping;0381;Uppsala län;03;Samtliga;Samtliga;519;84,0;82,5;81,3;79,6;16,0;
Enköping;0381;Uppsala län;03;Kommunal;Samtliga;385;80,8;79,5;78,4;76,1;19,2;
Enköping;0381;Uppsala län;03;Enskild;Samtliga;134;93,3;91,0;89,6;89,6;..;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Samtliga;1 269;79,4;78,9;77,5;76,3;20,6;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Samtliga;966;74,1;73,5;72,3;70,2;25,9;
Eskilstuna;0484;Södermanlands län;04;Enskild;Samtliga;303;96,4;96,0;94,1;95,7;3,6;
Eslöv;1285;Skåne län;12;Samtliga;Samtliga;372;83,9;83,1;80,9;82,8;16,1;
Eslöv;1285;Skåne län;12;Kommunal;Samtliga;372;83,9;83,1;80,9;82,8;16,1;
Essunga;1445;Västra Götalands län;14;Samtliga;Samtliga;59;86,4;84,7;79,7;83,1;..;
Essunga;1445;Västra Götalands län;14;Kommunal;Samtliga;59;86,4;84,7;79,7;83,1;..;
Fagersta;1982;Västmanlands län;19;Samtliga;Samtliga;163;67,5;62,6;62,0;61,3;32,5;
Fagersta;1982;Västmanlands län;19;Kommunal;Samtliga;140;67,9;62,1;62,1;60,7;32,1;
Fagersta;1982;Västmanlands län;19;Enskild;Samtliga;23;65,2;65,2;60,9;65,2;..;
Falkenberg;1382;Hallands län;13;Samtliga;Samtliga;493;79,9;79,1;77,1;77,3;20,1;
Falkenberg;1382;Hallands län;13;Kommunal;Samtliga;432;77,1;76,2;73,8;74,1;22,9;
Falkenberg;1382;Hallands län;13;Enskild;Samtliga;61;100,0;100,0;100,0;100,0;.;
Falköping;1499;Västra Götalands län;14;Samtliga;Samtliga;383;76,2;75,5;72,8;71,3;23,8;
Falköping;1499;Västra Götalands län;14;Kommunal;Samtliga;362;76,8;76,2;74,0;72,1;23,2;
Falköping;1499;Västra Götalands län;14;Enskild;Samtliga;21;66,7;61,9;52,4;57,1;..;
Falun;2080;Dalarnas län;20;Samtliga;Samtliga;600;84,3;84,3;83,5;81,7;15,7;
Falun;2080;Dalarnas län;20;Kommunal;Samtliga;458;81,2;81,2;80,1;78,8;18,8;
Falun;2080;Dalarnas län;20;Enskild;Samtliga;142;94,4;94,4;94,4;90,8;..;
Filipstad;1782;Värmlands län;17;Samtliga;Samtliga;116;86,2;84,5;83,6;81,9;13,8;
Filipstad;1782;Värmlands län;17;Kommunal;Samtliga;116;86,2;84,5;83,6;81,9;13,8;
Finspång;0562;Östergötlands län;05;Samtliga;Samtliga;217;71,9;69,1;66,8;68,2;28,1;
Finspång;0562;Östergötlands län;05;Kommunal;Samtliga;217;71,9;69,1;66,8;68,2;28,1;
Flen;0482;Södermanlands län;04;Samtliga;Samtliga;194;73,7;73,2;66,5;69,6;26,3;
Flen;0482;Södermanlands län;04;Kommunal;Samtliga;160;72,5;71,9;63,8;67,5;27,5;
Flen;0482;Södermanlands län;04;Enskild;Samtliga;34;79,4;79,4;79,4;79,4;..;
Forshaga;1763;Värmlands län;17;Samtliga;Samtliga;107;74,8;72,9;66,4;72,0;25,2;
Forshaga;1763;Värmlands län;17;Kommunal;Samtliga;107;74,8;72,9;66,4;72,0;25,2;
Färgelanda;1439;Västra Götalands län;14;Samtliga;Samtliga;77;80,5;79,2;76,6;77,9;19,5;
Färgelanda;1439;Västra Götalands län;14;Kommunal;Samtliga;77;80,5;79,2;76,6;77,9;19,5;
Gagnef;2026;Dalarnas län;20;Samtliga;Samtliga;120;85,8;85,8;85,0;85,0;14,2;
Gagnef;2026;Dalarnas län;20;Kommunal;Samtliga;120;85,8;85,8;85,0;85,0;14,2;
Gislaved;0662;Jönköpings län;06;Samtliga;Samtliga;364;78,6;78,0;75,3;74,5;21,4;
Gislaved;0662;Jönköpings län;06;Kommunal;Samtliga;355;78,9;78,3;75,5;74,6;21,1;
Gislaved;0662;Jönköpings län;06;Enskild;Samtliga;..;..;..;..;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;Samtliga;115;88,7;88,7;85,2;87,0;11,3;
Gnesta;0461;Södermanlands län;04;Kommunal;Samtliga;95;88,4;88,4;84,2;86,3;11,6;
Gnesta;0461;Södermanlands län;04;Enskild;Samtliga;20;~100;~100;~100;~100;..;
Gnosjö;0617;Jönköpings län;06;Samtliga;Samtliga;117;66,7;66,7;65,8;64,1;33,3;
Gnosjö;0617;Jönköpings län;06;Kommunal;Samtliga;117;66,7;66,7;65,8;64,1;33,3;
Gotland;0980;Gotlands län;09;Samtliga;Samtliga;592;82,8;81,8;80,2;80,2;17,2;
