"Antal personer efter region, utländsk/svensk bakgrund och år"

"region","utländsk/svensk bakgrund","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0480 Nyköping","svensk bakgrund",43921,43831,43956,44083,44267,44505,44549,44488,44549,44614,44765,44841,44857,44947,44901,44865,44916,44934,44974
"0481 Oxelösund","utländsk bakgrund",1989,2021,2012,1989,2030,2033,2062,2088,2107,2187,2230,2365,2581,2822,3117,3226,3357,3374,3395
"0481 Oxelösund","svensk bakgrund",9194,9278,9261,9145,9081,9115,9108,9038,9086,9063,9006,9038,8970,8879,8804,8782,8705,8609,8600
"0482 Flen","utländsk bakgrund",2382,2452,2469,2512,2518,2611,2708,2879,2982,3154,3274,3589,3843,4180,4699,4871,4867,4927,4884
"0482 Flen","svensk bakgrund",14138,14177,14065,13900,13704,13580,13425,13260,13046,12909,12745,12567,12399,12260,12131,11993,11838,11658,11547
"0483 Katrineholm","utländsk bakgrund",4579,4596,4556,4625,4745,4984,5274,5581,5852,5952,6177,6592,7029,7363,7774,8240,8676,9017,9092
"0483 Katrineholm","svensk bakgrund",27802,27822,27702,27560,27284,27178,26933,26722,26576,26457,26372,26338,26239,26099,25948,25893,25874,25738,25673
"0484 Eskilstuna","utländsk bakgrund",20034,20493,20848,21296,21828,22928,24214,25125,25979,27134,28295,29401,30905,32303,34089,35415,36856,38126,38667
"0484 Eskilstuna","svensk bakgrund",70055,70201,70320,70339,70422,70415,70571,70452,70332,70462,70470,70328,70018,69762,69595,69294,69068,68733,68308
"0486 Strängnäs","utländsk bakgrund",3568,3640,3705,3776,3917,4076,4220,4352,4517,4721,4900,5163,5461,5659,6083,6392,6852,7274,7697
"0486 Strängnäs","svensk bakgrund",26447,26572,26817,26879,27235,27359,27495,27672,27902,27966,28172,28226,28417,28443,28526,28653,28909,29270,29593
"0488 Trosa","utländsk bakgrund",1393,1405,1417,1455,1471,1513,1578,1601,1616,1621,1655,1748,1835,1908,2108,2250,2398,2572,2765
"0488 Trosa","svensk bakgrund",9121,9160,9210,9376,9480,9525,9784,9845,9846,9872,9874,9932,10029,10170,10339,10666,10911,11175,11544
"0509 Ödeshög","utländsk bakgrund",293,314,324,349,348,374,419,421,425,438,466,495,550,587,681,733,768,756,766
"0509 Ödeshög","svensk bakgrund",5273,5214,5196,5167,5085,4997,4931,4893,4859,4807,4734,4679,4690,4649,4654,4610,4555,4581,4572
"0512 Ydre","utländsk bakgrund",199,202,211,217,229,227,238,261,268,296,285,334,362,380,403,432,445,435,425
"0512 Ydre","svensk bakgrund",3805,3741,3683,3649,3593,3533,3488,3411,3404,3370,3327,3283,3298,3278,3272,3301,3298,3312,3301
"0513 Kinda","utländsk bakgrund",419,426,435,462,514,551,574,621,645,691,735,836,884,914,959,1016,1044,1059,1086
"0513 Kinda","svensk bakgrund",9595,9555,9518,9484,9404,9396,9311,9190,9117,9108,9009,8966,8911,8881,8915,8866,8871,8881,8905
"0560 Boxholm","utländsk bakgrund",216,264,281,271,272,286,317,316,320,333,362,422,446,471,514,578,615,636,622
"0560 Boxholm","svensk bakgrund",5075,5044,5006,4971,4954,4937,4943,4932,4901,4872,4844,4856,4876,4857,4859,4875,4834,4840,4819
"0561 Åtvidaberg","utländsk bakgrund",578,559,577,567,618,610,600,626,670,724,729,753,843,930,998,1068,1058,1085,1062
"0561 Åtvidaberg","svensk bakgrund",11309,11259,11240,11156,11157,11048,10943,10872,10834,10793,10717,10707,10629,10615,10619,10563,10479,10418,10365
"0562 Finspång","utländsk bakgrund",2537,2581,2602,2639,2667,2695,2713,2755,2793,2821,2946,3155,3372,3548,3900,3932,4146,4354,4380
"0562 Finspång","svensk bakgrund",18671,18471,18391,18249,18145,18008,17876,17978,17954,17942,17845,17748,17778,17651,17626,17645,17612,17558,17385
"0563 Valdemarsvik","utländsk bakgrund",404,420,430,474,468,475,508,533,584,613,611,649,708,867,1029,1157,1199,1158,1033
"0563 Valdemarsvik","svensk bakgrund",7826,7775,7729,7648,7570,7474,7344,7278,7176,7049,6986,6936,6949,6880,6780,6763,6757,6715,6704
"0580 Linköping","utländsk bakgrund",15852,16651,17200,17879,18868,20322,21795,23891,25226,25992,26862,27959,29152,29984,32059,34159,36063,37637,38637
"0580 Linköping","svensk bakgrund",119214,119580,119712,119757,119712,120045,120068,120799,121190,121342,121659,122243,122729,122982,123758,124361,124971,125414,125979
"0581 Norrköping","utländsk bakgrund",20403,20855,21239,21663,22564,23513,24792,25917,26508,27003,28090,29657,31229,32852,35062,36677,37776,39117,39705
"0581 Norrköping","svensk bakgrund",102900,103116,103171,102979,102899,103167,103268,103337,103542,103620,104034,104092,104054,104183,104301,104250,103900,104054,103773
"0582 Söderköping","utländsk bakgrund",794,826,827,814,814,840,856,859,867,878,910,928,961,990,1107,1172,1253,1306,1287
"0582 Söderköping","svensk bakgrund",13215,13256,13268,13211,13237,13180,13103,13183,13157,13165,13233,13267,13307,13250,13295,13349,13365,13320,13329
"0583 Motala","utländsk bakgrund",4824,4873,5000,5006,5185,5295,5425,5529,5637,5661,5892,6313,6719,7259,7710,8079,8380,8516,8645
"0583 Motala","svensk bakgrund",37254,37142,37062,36906,36774,36765,36528,36314,36318,36167,35975,35874,35837,35644,35548,35470,35307,35157,34995
"0584 Vadstena","utländsk bakgrund",470,471,476,480,537,562,571,578,585,602,605,645,661,676,728,781,811,779,773
